attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park	Four letter park code	categorical				
SiteCode	Unique alphanumeric site code	categorical				
SiteName	Descriptive name of the site	character				
VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD		
FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	categorical				
SampleFrame	Frequency of sampling at this site	categorical				
Panel	Grouping of sites that are usually sampled in the same year	categorical				
FlowModificationStatus	Indicates whether spring flow has been modified from its natural course	categorical				
ModificationType	The type of flow modification that was present	categorical				
VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	categorical				
DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	categorical				
