attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Park		categorical				
SiteCode		character				
SiteName		character				
VisitDate		Date		!Add datetime specifier here!		
FieldSeason		numeric	!Add units here!			
SampleFrame		categorical				
Panel		categorical				
InvasivesObserved		categorical				
InRiparianVegBuffer		categorical				
USDAPlantsCode		categorical				
ScientificName		categorical				
VisitType		categorical				
ProtectedStatus		character				
DPL		categorical				
Notes		categorical				
