attributeName	code	definition
DPL	Accepted	Data have undergone all QA and QC procedures as defined in a published protocol and associated SOPs.
DPL	Provisional	"Data have undergone all planned QA procedures, have been entered into the system of record, and have passed verification procedures to ensure that data in the system of record match source data (field forms, sensor data files, etc.). These data have not undergone all QC procedures"
DPL	Raw	"Data in their state of original collection, either in the form of paper or electronic field forms, eletronic sensor files, or digital media(photo, video, or audio). These data generally have been collected following some QA procedures, but have not undergone any QC procedures."
FieldSeason	2016	Water Year 2016
FieldSeason	2017	Water Year 2017
FieldSeason	2018	Water Year 2018
FieldSeason	2019	Water Year 2019
FieldSeason	2020	Water Year 2020
FieldSeason	2021	Water Year 2021
FieldSeason	2022	Water Year 2022
FieldSeason	2023	Water Year 2023
Fire	0	1
Fire	>0 - 25%	>0 - 25%
Fire	>25 - 50%	>25 - 50%
Fire	>50 - 75%	>50 - 75%
Fire	>75 - 100%	>75 - 100%
Flooding	0	1
Flooding	>0 - 25%	>0 - 25%
Flooding	>25 - 50%	>25 - 50%
Flooding	>50 - 75%	>50 - 75%
Flooding	>75 - 100%	>75 - 100%
FlowModificationStatus	No Data	No Data
FlowModificationStatus	None	None
FlowModificationStatus	Yes - All inactive	Yes - All inactive
FlowModificationStatus	Yes - One or more active	Yes - One or more active
FlowModificationStatus	Yes - Unknown if active	Yes - Unknown if active
HikingTrails	0	1
HikingTrails	>0 - 25%	>0 - 25%
HikingTrails	>25 - 50%	>25 - 50%
HikingTrails	>50 - 75%	>50 - 75%
HikingTrails	>75 - 100%	>75 - 100%
HumanUse	0	1
HumanUse	>0 - 25%	>0 - 25%
HumanUse	>25 - 50%	>25 - 50%
HumanUse	>50 - 75%	>50 - 75%
HumanUse	>75 - 100%	>75 - 100%
Livestock	0	1
Livestock	>0 - 25%	>0 - 25%
Livestock	>25 - 50%	>25 - 50%
Livestock	>50 - 75%	>50 - 75%
Livestock	>75 - 100%	>75 - 100%
OtherAnthropogenic	0	1
OtherAnthropogenic	>0 - 25%	>0 - 25%
OtherAnthropogenic	>25 - 50%	>25 - 50%
OtherAnthropogenic	>50 - 75%	>50 - 75%
OtherAnthropogenic	>75 - 100%	>75 - 100%
OtherNatural	0	1
OtherNatural	>0 - 25%	>0 - 25%
OtherNatural	>25 - 50%	>25 - 50%
OtherNatural	>50 - 75%	>50 - 75%
OtherNatural	>75 - 100%	>75 - 100%
Overall	0	1
Overall	>0 - 25%	>0 - 25%
Overall	>25 - 50%	>25 - 50%
Overall	>50 - 75%	>50 - 75%
Overall	>75 - 100%	>75 - 100%
Panel	Panel Annual	Site is expected to be monitored every year
Panel	Panel B	The B group of sites is monitored every 3 years
Panel	Panel C	The C group of sites is monitored every 3 years
Panel	Panel D	The D group of sites is monitored every 3 years
Panel	Panel Inactive	Inactive sites are no longer expected to be monitored
Park	CAMO	Castle Mountains National Monument
Park	DEVA	Death Valley National Park
Park	JOTR	Joshua Tree National Park
Park	LAKE	Lake Mead National Recreation Area
Park	MOJA	Mojave National Preserve
Park	PARA	Parashant National Monument
PlantManagement	0	1
PlantManagement	>0 - 25%	>0 - 25%
PlantManagement	>25 - 50%	>25 - 50%
