attributeName	code	definition
FieldSeason	2016	Water Year 2016
FieldSeason	2017	Water Year 2017
FieldSeason	2018	Water Year 2018
FieldSeason	2019	Water Year 2019
FieldSeason	2020	Water Year 2020
FieldSeason	2021	Water Year 2021
FieldSeason	2022	Water Year 2022
FieldSeason	2023	Water Year 2023
FlowCondition	dry	dry
FlowCondition	flood	flood
FlowCondition	flowing	flowing
FlowCondition	shore ice	shore ice
FlowCondition	solid ice	solid ice
FlowCondition	standing water	standing water
FlowCondition	wet soil only	wet soil only
InvasivesObserved	No	No
InvasivesObserved	Yes	Yes
MistletoePresent	No	No
MistletoePresent	No Data	No Data
MistletoePresent	Yes	Yes
MonitoringStatus	Sampled	Sampled
MonitoringStatus	Not sampled - No spring found	Not sampled - No spring found
MonitoringStatus	Not sampled - Inaccessible	Not sampled - Inaccessible
MonitoringStatus	Not sampled - Unsafe	Not sampled - Unsafe
MonitoringStatus	Not sampled - Resource damage risk	Not sampled - Resource damage risk
MonitoringStatus	Not sampled - Unknown reason	Not sampled - Unknown reason
Park	CAMO	Castle Mountains National Monument
Park	DEVA	Death Valley National Park
Park	JOTR	Joshua Tree National Park
Park	LAKE	Lake Mead National Recreation Area
Park	MOJA	Mojave National Preserve
Park	PARA	Parashant National Monument
RiparianObserved	No	No
RiparianObserved	Yes	Yes
SampleFrame	3Yr	3Yr
SampleFrame	Annual	Annual
SampleFrame	Oversample	Oversample
SampleFrame	Rejected	Rejected
SiteCode	CAMO_P_KID0300	CAMO_P_KID0301
SiteCode	CAMO_P_LEW0308	CAMO_P_LEW0309
SiteCode	CAMO_P_QUA0302	CAMO_P_QUA0303
SiteCode	DEVA_P_ANV0292	DEVA_P_ANV0293
SiteCode	DEVA_P_ARR0137	DEVA_P_ARR0138
SiteCode	DEVA_P_BEN0606	DEVA_P_BEN0607
SiteCode	DEVA_P_BIG0819	DEVA_P_BIG0820
SiteCode	DEVA_P_BOT0781	DEVA_P_BOT0782
SiteCode	DEVA_P_BRI0274	DEVA_P_BRI0275
SiteCode	DEVA_P_BUC0588	DEVA_P_BUC0588
SiteCode	DEVA_P_BUC0994	DEVA_P_BUC0994
SiteCode	DEVA_P_BUR0315	DEVA_P_BUR0316
SiteCode	DEVA_P_BUS0232	DEVA_P_BUS0233
SiteCode	DEVA_P_COR0991	DEVA_P_COR0992
SiteCode	DEVA_P_COT0794	DEVA_P_COT0795
SiteCode	DEVA_P_COW0160	DEVA_P_COW0161
SiteCode	DEVA_P_CUR0123	DEVA_P_CUR0124
SiteCode	DEVA_P_DAR0526	DEVA_P_DAR0527
SiteCode	DEVA_P_EAS0201	DEVA_P_EAS0202
SiteCode	DEVA_P_FER0624	DEVA_P_FER0625
SiteCode	DEVA_P_FIV0002	DEVA_P_FIV0003
SiteCode	DEVA_P_FLY0494	DEVA_P_FLY0495
SiteCode	DEVA_P_GNO0081	DEVA_P_GNO0082
SiteCode	DEVA_P_GRA0378	DEVA_P_GRA0379
SiteCode	DEVA_P_GRE0191	DEVA_P_GRE0191
SiteCode	DEVA_P_GRE0679	DEVA_P_GRE0679
SiteCode	DEVA_P_GRU0291	DEVA_P_GRU0292
SiteCode	DEVA_P_HAL0809	DEVA_P_HAL0810
SiteCode	DEVA_P_HAW0358	DEVA_P_HAW0359
SiteCode	DEVA_P_HOH0419	DEVA_P_HOH0420
SiteCode	DEVA_P_HOL0706	DEVA_P_HOL0707
SiteCode	DEVA_P_HUM0793	DEVA_P_HUM0794
SiteCode	DEVA_P_HUN0486	DEVA_P_HUN0486
SiteCode	DEVA_P_HUN0746	DEVA_P_HUN0746
SiteCode	DEVA_P_JAC0129	DEVA_P_JAC0129
SiteCode	DEVA_P_JAC0135	DEVA_P_JAC0135
SiteCode	DEVA_P_JAC0189	DEVA_P_JAC0189
SiteCode	DEVA_P_JAC0441	DEVA_P_JAC0441
SiteCode	DEVA_P_JAC0512	DEVA_P_JAC0512
SiteCode	DEVA_P_JAC0687	DEVA_P_JAC0687
SiteCode	DEVA_P_JAC0770	DEVA_P_JAC0770
SiteCode	DEVA_P_JAY0708	DEVA_P_JAY0709
SiteCode	DEVA_P_KEA1037	DEVA_P_KEA1038
SiteCode	DEVA_P_LAN0040	DEVA_P_LAN0041
SiteCode	DEVA_P_LCM0255	DEVA_P_LCM0256
SiteCode	DEVA_P_LIG0765	DEVA_P_LIG0766
SiteCode	DEVA_P_LIT0005	DEVA_P_LIT0006
SiteCode	DEVA_P_LOG0713	DEVA_P_LOG0714
SiteCode	DEVA_P_LOS0228	DEVA_P_LOS0228
SiteCode	DEVA_P_LOS0390	DEVA_P_LOS0390
SiteCode	DEVA_P_MAI0406	DEVA_P_MAI0407
SiteCode	DEVA_P_MAL0719	DEVA_P_MAL0720
SiteCode	DEVA_P_MCD0281	DEVA_P_MCD0282
SiteCode	DEVA_P_MCL0673	DEVA_P_MCL0674
SiteCode	DEVA_P_MES0218	DEVA_P_MES0219
